,"('Sample1', 'CD4')","('Sample2', 'CD4')","('Sample3', 'CD4')","('Sample3', 'CD8')","('Sample4', 'CD4')","('Sample5', 'CD4')","('Sample5', 'CD8')","('Sample6', 'CD4')","('Sample6', 'CD8')"
Gene_281,OST4,MBOAT7,TTC39C,,MT-ND3,,,DCXR,
Gene_282,H3F3B,RPS3,PSTPIP2,,PCED1B-AS1,,,CAPZB,
Gene_283,EIF3F,JUND,HLA-DMA,,CDKN2A,,,CD226,
Gene_284,RPL36,RPS9,EVI2B,,TSTD1,,,ETS2,
Gene_285,SYPL1,RPL10,RGS10,,SH2D1A,,,RPL23,
Gene_286,RPL23,,MPRIP,,RPL9,,,HSP90B1,
Gene_287,FKBP5,,LY9,,C12orf75,,,SGMS1,
Gene_288,GLCCI1,,MT-CO1,,RPL37,,,ICOS,
Gene_289,CD84,,CD82,,MT-ATP8,,,PGK1,
Gene_290,RPL9,,C9orf40,,LINC02245,,,TMEM204,
Gene_291,TMEM273,,APRT,,GZMH,,,AC068756.1,
Gene_292,S1PR4,,PRCP,,NPM1,,,ZBTB16,
Gene_293,EVI2B,,FKBP5,,CD81,,,TTC28,
Gene_294,GAPDH,,NME2,,RPL13A,,,DUSP2,
Gene_295,VIM,,TGFBR3L,,ARL6IP5,,,MECP2,
Gene_296,SAMSN1,,HLA-E,,CSF1,,,LINC00910,
Gene_297,PTDSS1,,HSPB1,,FKBP11,,,UBB,
Gene_298,CCDC200,,CXCR4,,RPL24,,,PRMT1,
Gene_299,PPP1CC,,FOXP1,,CCDC7,,,CSK,
Gene_300,TP63,,CD44,,DBNDD2,,,HSPD1,
Gene_301,PRELID1,,SEPTIN1,,APOBEC3G,,,ENPP3,
Gene_302,CNN2,,CENPM,,MFHAS1,,,SAMHD1,
Gene_303,PLSCR1,,LEPROTL1,,KRAS,,,EIF1,
Gene_304,HOMER2,,GPR183,,RPL30,,,PAICS,
Gene_305,UBE2F,,TMEM238,,CALM1,,,HIST1H2BK,
Gene_306,TSHZ2,,BEX2,,CTSC,,,STT3B,
Gene_307,RSL24D1,,H3F3B,,TNFRSF1B,,,S100A10,
Gene_308,CLECL1,,CYBA,,CHST11,,,NSMCE1-DT,
Gene_309,SUB1,,IL12RB2,,RAB27B,,,PRKCQ,
Gene_310,GPR183,,CBLL1,,MAP3K13,,,SCPEP1,
Gene_311,MYO1E,,TMED9,,HLA-B,,,NCL,
Gene_312,TMEM123,,PPIB,,IDH2,,,CENPM,
Gene_313,LINC00861,,CYTH1,,ITGAX,,,SNAP47,
Gene_314,RGS10,,PDIA3,,PPP1R12A,,,AFDN,
Gene_315,PTPN6,,FYB1,,CD44,,,RPS3,
Gene_316,CD3E,,SPOCK2,,UTRN,,,FKBP2,
Gene_317,GYPC,,ABLIM1,,RPL27,,,RPL8,
Gene_318,CLIC3,,TNFRSF1B,,FKBP5,,,SOCS1,
Gene_319,RETREG1,,ITGB2,,AC007384.1,,,HLA-DPA1,
Gene_320,LITAF,,TIMP1,,IL6ST,,,CD3E,
Gene_321,FLT3LG,,RPL30,,PEBP1,,,HSPE1,
Gene_322,NOB1,,FAM102A,,GGT1.1,,,RPS3A,
Gene_323,GTSF1,,RBMS1,,FAM106A,,,HSPA1B,
Gene_324,,,EIF3F,,TBC1D4,,,LYN,
Gene_325,,,IFI30,,SLC25A37,,,ZNF626,
Gene_326,,,PYHIN1,,DDIT4,,,FILIP1L,
Gene_327,,,SERPINB1,,RPS28,,,RGL4,
Gene_328,,,RNASE6,,LGALS3BP,,,NEAT1,
Gene_329,,,TIAM1,,SUB1,,,CALR,
Gene_330,,,APBB1IP,,TRERF1,,,HOMER2,
Gene_331,,,FGFBP2,,LIMS1,,,EVI2B,
Gene_332,,,PLSCR3,,ENPP3,,,PABPC1,
Gene_333,,,EIF1,,PABPC1,,,HNRNPDL,
Gene_334,,,KIF21A,,LSP1,,,HYOU1,
Gene_335,,,C16orf74,,NSMCE1,,,PTCH2,
Gene_336,,,RRAS2,,ARHGEF12,,,DNAJB9,
Gene_337,,,TNFSF8,,PSMB9,,,RPS18,
Gene_338,,,CD38,,DOK2,,,BEX3,
Gene_339,,,COX5A,,APEX1,,,CLDND1,
