Gene,dropout,highly_variable,F_pval,Adj_F_pval
NT5DC1,0.5732788002726653,0,7.935462773074396e-08,0.0015490771244069353
IMPDH2,0.7137014314928425,0,5.6163522660497736e-08,0.0016341057735685116
SH3BP5,0.852760736196319,0,2.9168028155611592e-08,0.0016501690395586605
ATP5MG,0.023858214042263123,0,2.0271590475617519e-07,0.0017298957087080894
UBE2F,0.5610088616223585,0,9.41783579123844e-08,0.0017870650517215955
RPL26,0.002044989775051125,0,2.1606434894619212e-07,0.0018035041743175216
KCNQ5,0.9093387866394002,1,2.0347144265069577e-08,0.0018695063240978906
CD81,0.23517382413087934,0,1.7861039165307635e-07,0.0019453107247269829
EIF3K,0.11860940695296524,0,2.11194600869592e-07,0.0019959947827010906
YWHAZ,0.1383776414451261,0,2.0732814320339e-07,0.002004408794336375
HLA-DPB1,0.7634628493524199,1,5.7318333337940094e-08,0.002018548525666557
DNPH1,0.4110429447852761,0,1.454145836374846e-07,0.0020566923699702104
PEBP1,0.3176550783912747,0,1.7231684833238282e-07,0.0021036272142607735
GIMAP1,0.8602590320381731,0,3.562179977117533e-08,0.002123425910252377
CREG1,0.8752556237218814,0,3.2294005029947184e-08,0.0021564824798169825
ALOX5AP,0.7580095432856169,1,6.276692686949158e-08,0.00216061619917505
COX10-AS1,0.7723244717109747,1,6.116321114569922e-08,0.002237787928603804
RPS6KA5,0.6100886162235856,1,1.0669284595851786e-07,0.002279367681514237
EIF3L,0.2058623040218132,0,2.2289880825823216e-07,0.0023380669148364854
ABI1,0.6284935241990457,0,1.0818170836192787e-07,0.0024256740847168412
HLA-DQA1,0.9107021131561008,1,2.8740242230312264e-08,0.002680984133443214
IL9R,0.6666666666666666,1,1.0748657471843896e-07,0.0026860895022137897
RPL18A,0.0013633265167007499,0,3.242639590882567e-07,0.0027048063133747417
IFI16,0.3933197000681663,0,2.0211547360577237e-07,0.002775138561982736
TBC1D19,0.9045671438309475,0,3.199747021791127e-08,0.002792947184175712
