,"('Sample1', 'CD4')","('Sample2', 'CD4')","('Sample3', 'CD4')","('Sample4', 'CD4')","('Sample5', 'CD8')","('Sample6', 'CD4')","('Sample6', 'CD8')"
Gene_306,TSHZ2,,BEX2,CTSC,,RGL4,
Gene_307,RSL24D1,,H3F3B,TNFRSF1B,,FKBP2,
Gene_308,CLECL1,,CYBA,CHST11,,PNRC1,
Gene_309,SUB1,,IL12RB2,RAB27B,,FAM135A,
Gene_310,GPR183,,CBLL1,MAP3K13,,PIM2,
Gene_311,MYO1E,,TMED9,HLA-B,,MAP3K5,
Gene_312,TMEM123,,PPIB,IDH2,,CALR,
Gene_313,LINC00861,,CYTH1,ITGAX,,HSPE1,
Gene_314,RGS10,,PDIA3,PPP1R12A,,SLC9A9,
Gene_315,PTPN6,,FYB1,CD44,,PABPC1,
Gene_316,CD3E,,SPOCK2,UTRN,,CD81,
Gene_317,GYPC,,ABLIM1,RPL27,,HLA-DPB1,
Gene_318,CLIC3,,TNFRSF1B,FKBP5,,HOMER2,
Gene_319,RETREG1,,ITGB2,AC007384.1,,PEBP1,
Gene_320,LITAF,,TIMP1,IL6ST,,GIMAP1,
Gene_321,FLT3LG,,RPL30,PEBP1,,UBASH3B,
Gene_322,NOB1,,FAM102A,GGT1.1,,RPL32,
Gene_323,GTSF1,,RBMS1,FAM106A,,PTCH2,
Gene_324,,,EIF3F,TBC1D4,,EIF3L,
Gene_325,,,IFI30,SLC25A37,,ATP5MG,
Gene_326,,,PYHIN1,DDIT4,,VIM,
Gene_327,,,SERPINB1,RPS28,,TBC1D19,
Gene_328,,,RNASE6,LGALS3BP,,ABI1,
Gene_329,,,TIAM1,SUB1,,AL391056.1,
Gene_330,,,APBB1IP,TRERF1,,PDCD4,
Gene_331,,,FGFBP2,LIMS1,,PPP1R14B,
Gene_332,,,PLSCR3,ENPP3,,CREG1,
Gene_333,,,EIF1,PABPC1,,HSPA1B,
Gene_334,,,KIF21A,LSP1,,ATP5F1E,
Gene_335,,,C16orf74,NSMCE1,,HLA-DQA1,
Gene_336,,,RRAS2,ARHGEF12,,SNHG15,
Gene_337,,,TNFSF8,PSMB9,,RPS13,
Gene_338,,,CD38,DOK2,,ANXA2,
Gene_339,,,COX5A,APEX1,,EIF1,
Gene_340,,,S100A11,CLIC1,,RPL8,
Gene_341,,,NCF4,XIST,,IFI16,
Gene_342,,,RPL10,PLEKHO1,,TSEN54,
Gene_343,,,STAT4,CXCR4,,SH3BP5,
Gene_344,,,SMARCA2,CYTIP,,HM13,
Gene_345,,,ICAM2,CREG1,,YWHAZ,
Gene_346,,,EIF3H,ADSL,,AFDN,
Gene_347,,,TKT,HYI,,NT5DC1,
Gene_348,,,DSTN,MBNL1,,PGD,
Gene_349,,,RPL3,UBE2F,,PAICS,
Gene_350,,,TESPA1,RPL39,,DOCK10,
Gene_351,,,ADD3,BIN2,,AFG3L2,
Gene_352,,,PCED1B,KCNQ5,,ID2,
Gene_353,,,ABI3,ETHE1,,CD164,
Gene_354,,,PLEKHA7,CD96,,SEPTIN9,
Gene_355,,,TP63,TXNIP,,CD3E,
Gene_356,,,MCRIP2,MARCKSL1,,TMSB10,
Gene_357,,,IGFBP4,REL,,CASS4,
Gene_358,,,FLT3LG,IL2RA,,RPS18,
Gene_359,,,YBX1,RIPOR2,,GLCCI1,
Gene_360,,,MRPL10,EIF3L,,NAP1L4,
Gene_361,,,SSR4,ICOS,,DNPH1,
Gene_362,,,CAPG,TMX4,,M6PR,
Gene_363,,,GPR15,GAB3,,ITGA4,
Gene_364,,,RABGAP1L,MYO1E,,ATIC,
Gene_365,,,PHB2,NFAT5,,FYB1,
Gene_366,,,ENPP3,AFDN,,WDR74,
Gene_367,,,EIF4E3,SYTL2,,TOMM7,
Gene_368,,,ANXA2,SP140,,MYL6B,
Gene_369,,,SAMHD1,UQCRH,,RPS3A,
Gene_370,,,ICOS,RPS27,,RBM3,
Gene_371,,,BLVRA,LITAF,,DNASE1L1,
Gene_372,,,HMGN3,PAX8-AS1,,LPAR5,
Gene_373,,,FOXN3,GSTK1,,FGFR1OP2,
Gene_374,,,OST4,ATP5PB,,NANS,
Gene_375,,,ICAM3,MED15,,GFPT2,
Gene_376,,,MYL12A,TLE5,,GGA1,
Gene_377,,,ERN1,GZMB,,GIMAP2,
Gene_378,,,IL10RA,TNFSF10,,SLC2A3,
